ASIN,title,Price,Ratings,Brand,Amazon_choice,Product_Url
B07T9ZPLYX,"iUKUS PC Microphone with Mic Stand, Professional 3.5mm Jack Recording Condenser Microphone Compatible with PC, Laptop, IP@d, iPh0ne, Mac-Recorder Singing YouTube Skype Gaming (3.5mm PC Microphone)",16.94,3.8 ,IUKUS,nan,https://www.amazon.com/Microphone-Professional-Recording-Compatible-Mac-Recorder/dp/B07T9ZPLYX?tag=pricee0d-20
B00ITT9U78,iLive iKBC384S Bluetooth Under the Cabinet Radio with CD Player,,4.2 ,iLive,nan,https://www.amazon.com/iLive-iKBC384S-Bluetooth-Cabinet-Player/dp/B00ITT9U78/ref=sr_1_1?dchild=1&keywords=Under+Cabinet+Cd+Player+And+Radio+Kitchen+Counter+Bluetooth+iLive+Stereo+Speaker&qid=1606707925&sr=8-1&tag=pricee0d-20
B00TJ2FKZK,"Pyle Dual Channel Wireless Microphone System - VHF Fixed Dual Frequency Wireless Mic Receiver Set with 2 Lavalier, 2 Headset Mics, 2 Transmitter, Receiver - For PA, Karaoke, Dj Party - Pyle PDWM2145",41.47,4.0 ,Pyle,nan,https://www.amazon.com/dp/B00TJ2FKZK/ref=dp_cr_wdg_tit_nw_mr?tag=pricee0d-20
B07VLRH3FL,"Portable Wireless Bluetooth Speakers with FM Radio Subwoofer MP3 Player Remote Control AUX, Rich Bass Party Speaker, Clear Stereo Sound Outdoor Home Desktop Speakers for Phone PC Computer TV(Black)",42.98,4.5 ,TENMIYA,nan,https://www.amazon.com/Portable-Bluetooth-Speakers-Subwoofer-Wireless/dp/B07VLRH3FL/ref=pd_lpo_23_t_0/135-6287290-5300232?_encoding=UTF8&pd_rd_i=B07VLRH3FL&pd_rd_r=bff3cd1c-cb48-4bc0-975b-8ba26cb22f3b&pd_rd_w=v4M8G&pd_rd_wg=4hMOe&pf_rd_p=16b28406-aa34-451d-8a2e-b3930ada000c&pf_rd_r=F4YBXVN5Z0VN3QFQ9ZJ7&refRID=F4YBXVN5Z0VN3QFQ9ZJ7&th=1&tag=pricee0d-20
B01954PYG6,"Wall Mount Home Speaker System - Active + Passive Pair Wireless Bluetooth Compatible Indoor / Outdoor Waterproof Weatherproof Stereo Sound Speaker Set with AUX IN - Pyle PDWR52BTBK (Black), 5.25 Inch",105.69,4.4 ,Pyle,nan,https://www.amazon.com/Wall-Mount-Home-Speaker-System/dp/B01954PYG6/ref=sr_1_3?dchild=1&keywords=Patio+Speakers+Bluetooth+Pair+System+Wireless+Weatherproof+Indoor+Outdoor+Deck&qid=1613813461&sr=8-3&tag=pricee0d-20
B08CV8HLFJ,"Bluetooth Headset CVC8.0 Dual Mic Noise Cancelling, Wireless Bluetooth Earpiece Super Power V5.0 Hands-Free Earphones for iPhone Android Cell Phones Driver Trucker Business",39.99,3.8 ,HonShoop,nan,https://www.amazon.com/Bluetooth-Cancelling-HonShoop-Hands-Free-Earphones/dp/B08CV8HLFJ/ref=sr_1_5?dchild=1&keywords=Bluetooth+Headset+Cvc8.0+Dual+Mic+Noise+Cancelling+Wireless+Bluetooth+Earpiece&qid=1611228549&sr=8-5&tag=pricee0d-20
B00YO2T6ZA,"LEDVANCE Sylvania Portable Bluetooth Speaker, Black, 7 x 8.2 x 15.5 inches (SP328-BLACK)",24.99,3.9 ,SYLVANIA,nan,https://www.amazon.com/Sylvania-Portable-Bluetooth-Speaker-Black/dp/B00YO2T6ZA?tag=pricee0d-20
B01LEEWO7C,"TONOR XLR Condenser Microphone Kit with XLR to XLR Cable/3.5mm to XLR/Adjustable Mic Suspension Scissor Arm/Shock Mount/USB Audio Adapter for Professional Studio/Home Recording, Podcasting, Black",,4.1 ,TONOR,nan,https://www.amazon.com/TONOR-Professional-Microphone-Podcasting-Broadcasting/dp/B01LEEWO7C/ref=sr_1_1?dchild=1&keywords=XLR+Condenser+Microphone+Kit+for+Professional+Studio+Home+Recording+Podcasting&qid=1610720394&sr=8-1&tag=pricee0d-20
B079DR1SVG,"Truck Driver Bluetooth Headset/Office Headset with Microphone, BT 5.0 Wireless Over The Head Headset with Extra Boom Mic for Trucker,Truck Driver, Phones,Call Center, Skype, VoIP",,4.2 ,Electronic Home,True,https://www.amazon.com/Driver-Bluetooth-Headset-Wireless-Reduction/dp/B079DR1SVG/ref=sr_1_9?dchild=1&keywords=Bluetooth+Headset+With+Mic+For+Truck+Driver+Over+The+Ear+Wireless+Headphone&qid=1613807154&sr=8-9&tag=pricee0d-20
B01HQRAMTS,"Skar Audio TWS-01 1-Inch 240 Watt Max Power Neodymium Silk Dome Tweeters, Pair",,4.4 ,Skar Audio,True,https://www.amazon.com/Skar-Audio-TWS-01-Neodymium-Tweeters/dp/B01HQRAMTS/ref=pd_bxgy_img_2/138-0915316-6428227?_encoding=UTF8&pd_rd_i=B01HQRAMTS&pd_rd_r=7da086f2-ab2f-4aa6-9fa4-c4b85f06e64b&pd_rd_w=JMxwz&pd_rd_wg=xqe4c&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=MMD68XVBRN4MK7C9BQ4T&psc=1&refRID=MMD68XVBRN4MK7C9BQ4T&tag=pricee0d-20
B00W3TAMG8,Plantronics 202340-21 Explorer 50 Bluetooth Headset - Retail Packaging - Black,,4.3 ,Poly (Plantronics + Polycom),nan,https://www.amazon.com/Plantronics-Explorer-Bluetooth-Headset-Packaging/dp/B00W3TAMG8/ref=sr_1_25?dchild=1&keywords=Bluetooth+Headsets+Plantronics+Explorer+Travel+Sound+Workout+Cell+Phones+NEW&qid=1613982870&sr=8-25&tag=pricee0d-20
B081ZWQBD8,"MP3 Player,AMDISI 16GB Bluetooth MP3 Player with 2.4'' Large Screen, Slim Portable Music Player with Speaker,Touch Buttons,HiFi Lossless Sound Quality,FM Radio/Recorder,Come with a Wired Headphone",,3.9 ,AMDISI,nan,https://www.amazon.com/AMDISI-Bluetooth-Portable-Lossless-Headphone/dp/B081ZWQBD8?tag=pricee0d-20
B07B76RN9J,"VTech PAW Patrol Megaphone Mission Voice Changer, Blue",21.99,4.5 ,VTech,True,https://www.amazon.com/VTech-Patrol-Megaphone-Mission-Changer/dp/B07B76RN9J/ref=sr_1_1?dchild=1&keywords=PAW+Patrol+Megaphone+Mission+Voice+Changer+Fun+Toy+For+Kids+Rescue+Missions+NEW&qid=1613805624&sr=8-1&tag=pricee0d-20
B07ZQN5J93,"Be Free Sound 5.1 Channel Surround Sound Bluetooth Speaker System in Red with Remote Control, FM Radio, 4"" Amplifier, 2.5"" Speakers",,3.9 ,Be Free,nan,https://www.amazon.com/Channel-Surround-Bluetooth-Speaker-System/dp/B07ZQN5J93/ref=pd_lpo_23_t_1/135-6230655-2354102?_encoding=UTF8&pd_rd_i=B07ZQN5J93&pd_rd_r=214441a2-edeb-4a58-a9c1-1f70697f4153&pd_rd_w=8MMoq&pd_rd_wg=JjRe9&pf_rd_p=16b28406-aa34-451d-8a2e-b3930ada000c&pf_rd_r=X68C2J9TSA46AQFKT81K&psc=1&refRID=X68C2J9TSA46AQFKT81K&tag=pricee0d-20
B001ASWCP2,Caldwell E-MAX Low Profile Electronic Hearing Protection with Sound Amplification 21-25 NRR,26.49,4.6 ,Caldwell,nan,https://www.amazon.com/Caldwell-Electronic-Protection-Amplification-Adjustable/dp/B001ASWCP2?ref_=ast_sto_dp&tag=pricee0d-20
B00IJSBDSI,"Pyle Portable Folding Laptop Stand - Standing Table with Foldable Height and Secondary Accessory Tray for iPad, Tablet, DJ Mixer, Workstation, Gaming and Home Use with Bag - PLPTS35",,4.4 ,Pyle,nan,https://www.amazon.com/Pyle-Portable-Folding-Laptop-Stand/dp/B00IJSBDSI?tag=pricee0d-20
B07R3V9N3D,HAOYUE Violin Bow - Lightweight Violin Bow 4/4 Full Size -Fiddle Bow Carbon Fiber Violin Bow - Handmade with Natural Mongolian Horse Hair-Crescent Balanced Bow (Black),,4.4 ,HAOYUE,nan,https://www.amazon.com/dp/B07R3V9N3D/ref=redir_mobile_desktop?_encoding=UTF8&aaxitk=tpWAgW2lhYbRIfNA9-mwjw&hsa_cr_id=1867408550101&pd_rd_plhdr=t&pd_rd_r=1b10f1c1-ab7e-4815-b7a2-e20389f7e6b7&pd_rd_w=RV0CD&pd_rd_wg=AIobW&ref_=sbx_be_s_sparkle_mcd_asin_0_title&tag=pricee0d-20
B0795PNCBG,"Wireless Microphone,Fifine Handheld Dynamic Microphone Wireless mic System for Karaoke Nights and House Parties to Have Fun Over The Mixer,PA System,Speakers-K025",,4.2 ,FIFINE TECHNOLOGY,nan,https://www.amazon.com/Wireless-Microphone-Handheld-Dynamic-Speakers-K025/dp/B0795PNCBG?tag=pricee0d-20
B07574VQPQ,Liquid Stands Piano Keyboard Stand - Z Style Adjustable and Portable Heavy Duty Music Stand for Kids and Adults (Fits 54 - 88 Key Electric Pianos),74.99,4.8 ,,True,https://www.amazon.com/Plixio-Piano-Keyboard-Stand-Adjustable/dp/B07574VQPQ/ref=sr_1_1?dchild=1&keywords=Piano+Keyboard+Stand+Adjustable+Heavy+Duty+Music+Stand+for+Kids+and+Adults&qid=1613813080&sr=8-1&tag=pricee0d-20
B07F2TLXQP,"Moozica 17 Keys Kalimba Marimba, Solid Koa Wood Professional Thumb Piano Musical Instrument Gift (Koa-K17K)",39.99,4.8 ,MOOZICA,nan,https://www.amazon.com/Moozica-Kalimba-Marimba-Professional-Instrument/dp/B07F2TLXQP/ref=sr_1_4?_encoding=UTF8&c=ts&dchild=1&keywords=Thumb+Pianos&qid=1613787198&s=musical-instruments&sr=1-4&ts_id=11972441&tag=pricee0d-20
